[2018-04-26 13:53:07,880] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=52#page:200
[2018-04-26 13:53:09,088] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=53 HTTP/1.1" 200 None
[2018-04-26 13:53:09,460] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=53#page:200
[2018-04-26 13:53:10,539] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=54 HTTP/1.1" 200 None
[2018-04-26 13:53:10,930] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=54#page:200
[2018-04-26 13:53:12,173] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=55 HTTP/1.1" 200 None
[2018-04-26 13:53:12,477] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=55#page:200
[2018-04-26 13:53:13,408] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=56 HTTP/1.1" 200 None
[2018-04-26 13:53:13,700] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=56#page:200
[2018-04-26 13:53:15,410] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=57 HTTP/1.1" 200 None
[2018-04-26 13:53:15,811] - [INFO] - https://itunes.apple.com/cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=57#page:200
[2018-04-26 13:53:16,907] - [DEBUG] - https://itunes.apple.com:443 "GET /cn/genre/ios-娱乐/id6016?mt=8&letter=A&page=58 HTTP/1.1" 200 None
